mpn,CAUTIscore,CAUTInat_composite
10001,2.409,Worse than the U.S. National Benchmark
10005,0.548,No Different than U.S. National Benchmark
10006,0.527,No Different than U.S. National Benchmark
10011,0.569,Better than the U.S. National Benchmark
10012,0,No Different than U.S. National Benchmark
10016,0.345,Better than the U.S. National Benchmark
10019,0,No Different than U.S. National Benchmark
10023,0.796,No Different than U.S. National Benchmark
10024,1.032,No Different than U.S. National Benchmark
10025,0.775,No Different than U.S. National Benchmark
10029,2.539,Worse than the U.S. National Benchmark
10033,1.729,Worse than the U.S. National Benchmark
10035,0.339,No Different than U.S. National Benchmark
10038,0,No Different than U.S. National Benchmark
10039,1.267,No Different than U.S. National Benchmark
10040,0.311,Better than the U.S. National Benchmark
10046,1.401,No Different than U.S. National Benchmark
10055,0.8,No Different than U.S. National Benchmark
10056,0.475,Better than the U.S. National Benchmark
10061,2.188,No Different than U.S. National Benchmark
10065,0,Better than the U.S. National Benchmark
10078,0.657,No Different than U.S. National Benchmark
10079,0.517,No Different than U.S. National Benchmark
10083,0.37,No Different than U.S. National Benchmark
10085,0.438,No Different than U.S. National Benchmark
10087,2.064,Worse than the U.S. National Benchmark
10089,0.781,No Different than U.S. National Benchmark
10090,0.519,Better than the U.S. National Benchmark
10092,1.022,No Different than U.S. National Benchmark
10100,1.268,No Different than U.S. National Benchmark
10103,0.202,Better than the U.S. National Benchmark
10104,0.655,No Different than U.S. National Benchmark
10108,0,No Different than U.S. National Benchmark
10113,1.022,No Different than U.S. National Benchmark
10114,0.259,Better than the U.S. National Benchmark
10118,1.064,No Different than U.S. National Benchmark
10126,0.68,No Different than U.S. National Benchmark
10130,3.604,Worse than the U.S. National Benchmark
10131,0.679,No Different than U.S. National Benchmark
10139,1.126,No Different than U.S. National Benchmark
10144,1.262,No Different than U.S. National Benchmark
10149,0.47,No Different than U.S. National Benchmark
10157,0.74,No Different than U.S. National Benchmark
10164,0,No Different than U.S. National Benchmark
20001,0.59,No Different than U.S. National Benchmark
20006,0,No Different than U.S. National Benchmark
20017,2.226,No Different than U.S. National Benchmark
30001,0,No Different than U.S. National Benchmark
30002,1.691,Worse than the U.S. National Benchmark
30006,1.517,No Different than U.S. National Benchmark
30007,0.284,No Different than U.S. National Benchmark
30010,1.609,No Different than U.S. National Benchmark
30011,1.948,Worse than the U.S. National Benchmark
30012,0.791,No Different than U.S. National Benchmark
30013,0.794,No Different than U.S. National Benchmark
30014,1.417,No Different than U.S. National Benchmark
30016,0.295,No Different than U.S. National Benchmark
30022,2.274,Worse than the U.S. National Benchmark
30023,1.777,No Different than U.S. National Benchmark
30024,1.419,Worse than the U.S. National Benchmark
30030,0.24,Better than the U.S. National Benchmark
30036,0.179,Better than the U.S. National Benchmark
30037,1.472,No Different than U.S. National Benchmark
30038,1.711,Worse than the U.S. National Benchmark
30043,1.706,No Different than U.S. National Benchmark
30055,1.39,No Different than U.S. National Benchmark
30061,0.168,Better than the U.S. National Benchmark
30062,0,No Different than U.S. National Benchmark
30064,1.389,Worse than the U.S. National Benchmark
30065,0.786,No Different than U.S. National Benchmark
30069,0,No Different than U.S. National Benchmark
30083,0.476,No Different than U.S. National Benchmark
30085,0.968,No Different than U.S. National Benchmark
30087,1.474,No Different than U.S. National Benchmark
30088,1.22,No Different than U.S. National Benchmark
30089,1.504,No Different than U.S. National Benchmark
30092,0.386,No Different than U.S. National Benchmark
30093,0.719,No Different than U.S. National Benchmark
30094,0.501,No Different than U.S. National Benchmark
30101,0.173,Better than the U.S. National Benchmark
