mpn,CLABSIscore,CLABSInat_composite
10001,1.378,No Different than U.S. National Benchmark
10005,0,No Different than U.S. National Benchmark
10006,0.53,No Different than U.S. National Benchmark
10011,0.944,No Different than U.S. National Benchmark
10016,0.198,Better than the U.S. National Benchmark
10019,0,No Different than U.S. National Benchmark
10023,0.355,Better than the U.S. National Benchmark
10024,0.923,No Different than U.S. National Benchmark
10029,0.801,No Different than U.S. National Benchmark
10033,0.838,No Different than U.S. National Benchmark
10035,0,No Different than U.S. National Benchmark
10039,0.991,No Different than U.S. National Benchmark
10040,0,Better than the U.S. National Benchmark
10046,2.71,Worse than the U.S. National Benchmark
10055,0.53,No Different than U.S. National Benchmark
10056,0.451,Better than the U.S. National Benchmark
10065,0,No Different than U.S. National Benchmark
10078,0.948,No Different than U.S. National Benchmark
10083,0,No Different than U.S. National Benchmark
10085,0.575,No Different than U.S. National Benchmark
10087,0.526,Better than the U.S. National Benchmark
10090,0.232,Better than the U.S. National Benchmark
10092,0.563,Better than the U.S. National Benchmark
10100,0.227,No Different than U.S. National Benchmark
10103,0.288,Better than the U.S. National Benchmark
10104,0.256,Better than the U.S. National Benchmark
10113,0.043,Better than the U.S. National Benchmark
10114,0.209,No Different than U.S. National Benchmark
10118,0,No Different than U.S. National Benchmark
10131,1.302,No Different than U.S. National Benchmark
10139,0.862,No Different than U.S. National Benchmark
10144,0.127,Better than the U.S. National Benchmark
10149,0.285,No Different than U.S. National Benchmark
20001,0.523,No Different than U.S. National Benchmark
20006,0,No Different than U.S. National Benchmark
20017,0.572,No Different than U.S. National Benchmark
30001,0,No Different than U.S. National Benchmark
30002,0.703,No Different than U.S. National Benchmark
30006,0.738,No Different than U.S. National Benchmark
30007,0,No Different than U.S. National Benchmark
30010,0.216,Better than the U.S. National Benchmark
30011,0.23,Better than the U.S. National Benchmark
30012,0.518,No Different than U.S. National Benchmark
30013,0.449,No Different than U.S. National Benchmark
30014,1.101,No Different than U.S. National Benchmark
30016,0.384,No Different than U.S. National Benchmark
30022,1.365,No Different than U.S. National Benchmark
30023,0.588,No Different than U.S. National Benchmark
30024,0.458,Better than the U.S. National Benchmark
30030,0.442,No Different than U.S. National Benchmark
30036,0,Better than the U.S. National Benchmark
30037,0.521,No Different than U.S. National Benchmark
30038,0.649,No Different than U.S. National Benchmark
30055,0,Better than the U.S. National Benchmark
30061,0.51,No Different than U.S. National Benchmark
30062,0.826,No Different than U.S. National Benchmark
30064,0.807,No Different than U.S. National Benchmark
30065,0.634,No Different than U.S. National Benchmark
30069,0,No Different than U.S. National Benchmark
30083,0,No Different than U.S. National Benchmark
30085,0.905,No Different than U.S. National Benchmark
30087,0.775,No Different than U.S. National Benchmark
30088,0.649,No Different than U.S. National Benchmark
30089,0.533,Better than the U.S. National Benchmark
30092,0.817,No Different than U.S. National Benchmark
30093,0.432,No Different than U.S. National Benchmark
30094,0.74,No Different than U.S. National Benchmark
30101,0.458,No Different than U.S. National Benchmark
30103,0.111,Better than the U.S. National Benchmark
30105,0.24,No Different than U.S. National Benchmark
30110,0,Better than the U.S. National Benchmark
30111,0,Better than the U.S. National Benchmark
30114,0,No Different than U.S. National Benchmark
30115,0,No Different than U.S. National Benchmark
30119,1.823,No Different than U.S. National Benchmark
30121,0.497,No Different than U.S. National Benchmark
30122,0.411,No Different than U.S. National Benchmark
30123,1.778,No Different than U.S. National Benchmark
40004,0.575,No Different than U.S. National Benchmark
40007,0.711,No Different than U.S. National Benchmark
40010,0.699,No Different than U.S. National Benchmark
40014,0.639,No Different than U.S. National Benchmark
40016,0.428,Better than the U.S. National Benchmark
40020,1.349,No Different than U.S. National Benchmark
40022,0.544,No Different than U.S. National Benchmark
40026,0.36,No Different than U.S. National Benchmark
40027,0,No Different than U.S. National Benchmark
40029,0.298,No Different than U.S. National Benchmark
40036,1.909,Worse than the U.S. National Benchmark
40042,0,No Different than U.S. National Benchmark
40055,0.56,No Different than U.S. National Benchmark
40062,0.18,Better than the U.S. National Benchmark
